광고회사,advertising company
무역회사,trading company
방송국,broadcasting station
신문사,newspaper publishing company
잡지사,magazine company
직장,job
출판사,publishing company
항공사,airline company
스튜어디스,flight attendant
처음 ,first
연휴,consecutive holidays
오랜만,after a long time
걱정,worry 
글,text
일기,journal
편지,letter
메모,memo
점점,eventually
열심히,diligently
곧,soon
지내다,to spend one's time
그만두다,to quit
다니다,to attend or go
사귀다,to make friends
다녀오다,to go and then come back
잊어버리다,to forget
오랜만이다,long time no see; it's been a while
즐겁다,to be fun or be happy
익숙하다,to be used to
건강하다,to be healthy
보내다,to spend time
힘들다 ,to be difficult
