대학원,graduate school
신문방송학,journalism and mass communication
경영학,business administration
경제학,economics
교육학,educational studies
국어국문학,Korean language and literature
법학,law
영문학,English literature
의학,medical science
컴퓨터공학,computer engineering
천문 우주학,astronomy
별,star
고등학교,senior high school
전공,major
교수,professor
소개,introduction
자기소개서,personal statement
학습,learning or study
아시아,Asia
관심,interest
유학,study abroad
새,new
열심히,diligently
자세히,in detail
및,and
전공하다,to major in
졸업하다,to graduate
돕다,to help
생기다,to come into being
입학하다,to enter a school
이해하다,to understand
멋있다,to be fashionable or cool
필요하다,to need
한국어교육학,Korean language education
방송국,broadcasting station
이유,reason
목적,goal or purpose
앞으로,in the future
